examples.fibonacci.Fibonacci_1,examples.fibonacci.Fibonacci_2,examples.fibonacci.Fibonacci_3,examples.fibonacci.Fibonacci_4,examples.fibonacci.Fibonacci_5,examples.fibonacci.Fibonacci_6,examples.fibonacci.Fibonacci_7,examples.fibonacci.Fibonacci_8,examples.fibonacci.Fibonacci_9,examples.fibonacci.Fibonacci_10,examples.fibonacci.Fibonacci_11,examples.fibonacci.Fibonacci_12,examples.fibonacci.Fibonacci_13,examples.fibonacci.Fibonacci_14,examples.fibonacci.Fibonacci_15,examples.fibonacci.Fibonacci_16,examples.fibonacci.Fibonacci_17,examples.fibonacci.Fibonacci_18,examples.fibonacci.Fibonacci_19,examples.fibonacci.Fibonacci_20,examples.fibonacci.Fibonacci_21,examples.fibonacci.Fibonacci_22,examples.fibonacci.Fibonacci_23,examples.fibonacci.Fibonacci_24,examples.nqueens.Nqueens_1,examples.nqueens.Nqueens_2,examples.nqueens.Nqueens_3,examples.nqueens.Nqueens_4,examples.nqueens.Nqueens_5,examples.nqueens.Nqueens_6,examples.nqueens.Nqueens_7,examples.nqueens.Nqueens_8,examples.nqueens.Nqueens_9,examples.nqueens.Nqueens_10,examples.nqueens.Nqueens_11,examples.nqueens.Nqueens_12,examples.nqueens.Nqueens_13,examples.nqueens.Nqueens_14,examples.nqueens.Nqueens_15,examples.nqueens.Nqueens_16,examples.nqueens.Nqueens_17,examples.nqueens.Nqueens_18,examples.nqueens.Nqueens_19,examples.nqueens.Nqueens_20,examples.nqueens.Nqueens_21,examples.nqueens.Nqueens_22,examples.nqueens.Nqueens_23,examples.nqueens.Nqueens_24,BatteryDropTime
2.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,0.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,31.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
6.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,4.0,0.0,3.0,1.0,1.0,4.0,1.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,44.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
7.0,1.0,1.0,3.0,1.0,0.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,1.0,34.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
10.0,5.0,0.0,4.0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,0.0,2.0,4.0,2.0,3.0,2.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,45.0,3.0,2.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
2.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,2.0,27.0,2.0,3.0,0.0,2.0,0.0,0.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
2.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
1.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,0.0,25.0,3.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
4.0,5.0,4.0,5.0,1.0,5.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,15.0,6.0,6.0,6.0,1.0,2.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
1.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,19.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
6.0,4.0,0.0,1.0,3.0,1.0,0.0,2.0,0.0,1.0,4.0,2.0,4.0,1.0,2.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,36.0,2.0,3.0,2.0,0.0,5.0,3.0,2.0,4.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
8.0,7.0,2.0,0.0,1.0,0.0,2.0,5.0,1.0,3.0,3.0,0.0,3.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,38.0,2.0,3.0,1.0,1.0,0.0,0.0,2.0,5.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
10.0,2.0,2.0,4.0,1.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,3.0,2.0,3.0,4.0,3.0,1.0,0.0,0.0,0.0,40.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
4.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,1.0,1.0,0.0,1.0,18.0,1.0,2.0,1.0,0.0,1.0,0.0,3.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2.0,1.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,25.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
1.0,3.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,16.0,3.0,3.0,2.0,0.0,2.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,18.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,89.0
4.0,6.0,4.0,3.0,2.0,3.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,9.0,6.0,9.0,2.0,7.0,5.0,3.0,1.0,4.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0
6.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,1.0,1.0,3.0,0.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,30.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
2.0,3.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,22.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
3.0,3.0,3.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,0.0,19.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
7.0,2.0,1.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,28.0,6.0,1.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0
6.0,2.0,3.0,5.0,4.0,3.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,8.0,7.0,7.0,1.0,2.0,2.0,3.0,1.0,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0
6.0,3.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,31.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
11.0,5.0,2.0,4.0,3.0,1.0,1.0,4.0,3.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,37.0,3.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0
6.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,0.0,40.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,4.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
5.0,5.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,3.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,23.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
2.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,1.0,1.0,4.0,0.0,4.0,0.0,1.0,2.0,1.0,0.0,27.0,2.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
6.0,5.0,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,4.0,0.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
3.0,3.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,31.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0
6.0,3.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,27.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,117.0
4.0,4.0,6.0,7.0,2.0,2.0,0.0,4.0,2.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,15.0,3.0,5.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
5.0,3.0,2.0,5.0,0.0,1.0,1.0,1.0,2.0,5.0,0.0,3.0,2.0,1.0,2.0,2.0,5.0,2.0,2.0,1.0,0.0,3.0,1.0,0.0,36.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
8.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,4.0,0.0,1.0,4.0,0.0,1.0,0.0,4.0,2.0,1.0,2.0,2.0,0.0,39.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,5.0,13.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
8.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,5.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,30.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,11.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
2.0,1.0,1.0,4.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,0.0,20.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
6.0,8.0,3.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,1.0,29.0,4.0,2.0,1.0,2.0,0.0,1.0,3.0,0.0,6.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
17.0,2.0,3.0,6.0,2.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,16.0,15.0,8.0,5.0,5.0,4.0,2.0,1.0,1.0,5.0,4.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
5.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,2.0,27.0,3.0,2.0,1.0,3.0,0.0,0.0,1.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
10.0,5.0,3.0,2.0,0.0,3.0,0.0,3.0,2.0,2.0,4.0,0.0,2.0,3.0,2.0,5.0,0.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,42.0,4.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
8.0,0.0,2.0,5.0,2.0,1.0,2.0,3.0,3.0,0.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,44.0,3.0,1.0,2.0,2.0,0.0,4.0,1.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0
3.0,5.0,3.0,4.0,1.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,1.0,30.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
11.0,4.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,4.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,31.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
7.0,6.0,1.0,1.0,2.0,4.0,4.0,3.0,0.0,3.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,41.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
6.0,4.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,36.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0
4.0,4.0,2.0,1.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,26.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,1.0,19.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
5.0,3.0,1.0,6.0,1.0,0.0,1.0,2.0,3.0,0.0,2.0,1.0,3.0,2.0,2.0,5.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,20.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
10.0,6.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,5.0,4.0,14.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,119.0
8.0,1.0,1.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,3.0,0.0,1.0,3.0,2.0,0.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,31.0,2.0,1.0,1.0,1.0,0.0,2.0,0.0,4.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
12.0,3.0,1.0,2.0,0.0,0.0,2.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,4.0,0.0,2.0,4.0,1.0,2.0,0.0,0.0,42.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0
