Actor1	Actor2	Actor3	Actor4	Actor5	Actor6	Actor7	Actor8	Actor9	Actor10	Actor11	Actor12	Actor13	Actor14	Actor15	Actor16	Actor17	Actor18	Actor19	Actor20	batteryPct
65	0	0	0	55	61	56	0	0	0	63	0	55	63	0	0	0	55	58	0	65
65	61	60	0	0	60	0	55	64	60	65	65	64	60	61	61	0	55	61	64	65
60	64	65	58	65	0	0	58	56	60	56	63	61	64	60	59	0	56	61	59	65
0	61	55	59	0	63	0	56	57	59	0	55	59	0	0	61	62	63	60	65	65
0	60	59	63	63	58	58	59	0	65	63	62	60	62	57	60	64	64	59	62	65
0	0	0	0	100	0	0	0	0	0	0	0	0	98	0	0	100	0	97	0	100
57	0	0	0	0	59	0	0	0	57	0	60	0	65	0	62	55	64	0	0	65
57	63	60	64	61	63	61	61	64	65	0	61	58	0	63	64	65	61	64	60	65
63	56	60	62	58	65	60	0	0	61	65	0	55	65	60	62	62	0	65	62	65
58	63	60	61	60	55	57	57	64	57	64	61	60	63	0	60	61	0	58	65	65
62	65	63	62	63	56	57	56	60	64	63	62	61	55	61	60	59	59	56	62	65
59	63	60	63	55	65	58	0	58	57	59	55	56	60	65	63	65	61	0	62	65
65	0	0	0	0	58	0	0	0	0	0	63	56	0	0	0	64	0	0	62	65
57	57	65	59	58	59	0	58	58	62	0	60	62	58	0	0	60	59	61	55	65
59	62	0	0	0	64	0	0	59	0	0	0	0	0	0	0	62	57	60	0	64
